Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
12/1/2022,93877.95313,94699.73853,92792.23068,93553.99753,16380
12/2/2022,94105.57031,94537.30894,92791.63118,94041.67181,11977
12/5/2022,94224.50781,94791.74892,93606.20544,94262.57633,8584
12/6/2022,94068.44531,94350.20365,93613.76137,94150.15733,6816
12/7/2022,92444.67969,94624.78629,92177.10376,94250.62475,13731
12/8/2022,90660.19531,93036.42185,89821.79378,92658.27147,14507
12/9/2022,91076.52344,91563.49881,89637.8273,90875.77731,10766
12/12/2022,90960.00781,91294.76347,90170.1717,91294.76347,6440
12/13/2022,90538.32813,91462.96695,90171.12557,91021.0736,5928
12/14/2022,90732.91406,91511.04832,90512.26282,90792.17841,4831
12/15/2022,90441.70313,91264.88048,90072.61108,90707.58407,5201
12/16/2022,88689.9375,90298.27008,88179.62034,90091.50579,8992
12/19/2022,89490.32031,89802.83046,88116.56482,88690.18174,5089
12/20/2022,88582.6875,89771.91636,88279.13467,89771.91636,7210
